subject,section,traial,leftButton,rightButton,answer,leftTouched,rightTouched
2,3,24,1.125,1.625,3,1,1
2,3,25,1.125,2.125,1,1,1
2,3,26,1.125,1.875,2,1,2
2,3,27,1.125,1,6,1,2
2,3,28,1.125,1.125,4,1,1
2,3,29,1.125,1.375,3,2,2
2,3,30,1.125,2.25,1,2,1
2,3,31,1.125,1.75,3,1,1
2,3,32,1.125,1.5,3,1,1
2,3,33,1.125,2,5,1,1
2,4,34,1.25,2.125,2,1,1
2,4,35,1.25,2,2,1,1
2,4,36,1.25,1.875,2,1,1
2,4,37,1.25,1.375,5,2,3
2,4,38,1.25,1.625,4,1,1
2,4,39,1.25,1,5,1,1
2,4,40,1.25,1.125,6,1,1
2,4,41,1.25,1.75,3,1,1
2,4,42,1.25,1.5,5,1,1
2,4,43,1.25,2.25,1,1,1
2,4,44,1.25,1.25,4,1,1
2,5,45,2.25,1.5,5,1,1
2,5,46,2.25,2,3,1,1
2,5,47,2.25,1.625,5,1,1
2,5,48,2.25,1,6,1,1
2,5,49,2.25,2.125,4,1,1
2,5,50,2.25,1.25,7,1,1
2,5,51,2.25,1.125,7,1,1
2,5,52,2.25,2.25,4,1,2
2,5,53,2.25,1.375,7,1,2
2,5,54,2.25,1.75,4,1,1
2,5,55,2.25,1.875,4,1,1
2,6,56,2.125,2.125,4,1,1
2,6,57,2.125,2,4,1,1
2,6,58,2.125,1.75,5,1,1
2,6,59,2.125,1.625,5,2,3
2,6,60,2.125,1.375,6,1,1
2,6,61,2.125,1.125,6,1,1
2,6,62,2.125,1.25,6,1,1
2,6,63,2.125,1,7,1,1
2,6,64,2.125,1.5,6,1,1
2,6,65,2.125,1.875,5,1,1
2,6,66,2.125,2.25,4,1,1
2,7,67,1.5,1,5,1,1
2,7,68,1.5,1.875,4,1,1
2,7,69,1.5,1.375,4,1,1
2,7,70,1.5,1.625,4,1,1
2,7,71,1.5,1.25,6,1,2
2,7,72,1.5,1.125,6,1,1
2,7,73,1.5,1.5,5,1,1
2,7,74,1.5,2.25,1,1,3
2,7,75,1.5,2,3,1,1
2,7,76,1.5,1.75,3,1,1
2,7,77,1.5,2.125,1,1,1
2,8,78,1.625,1.25,6,1,3
2,8,79,1.625,1.375,5,1,1
2,8,80,1.625,1.5,5,1,1
2,8,81,1.625,1,5,1,1
2,8,82,1.625,1.875,3,1,1
2,8,83,1.625,2,2,1,1
2,8,84,1.625,1.125,6,1,1
2,8,85,1.625,1.625,5,1,1
2,8,86,1.625,2.25,1,1,1
2,8,87,1.625,1.75,4,1,1
2,8,88,1.625,2.125,2,1,1
2,9,89,1.75,1.5,5,1,2
2,9,90,1.75,1.75,4,1,1
2,9,91,1.75,1.875,4,1,1
2,9,92,1.75,2.25,3,1,1
2,9,93,1.75,1,5,1,1
2,9,94,1.75,2,5,1,1
2,9,95,1.75,2.125,3,1,1
2,9,96,1.75,1.125,6,1,1
2,9,97,1.75,1.375,6,1,3
2,9,98,1.75,1.25,6,1,1
2,9,99,1.75,1.625,5,1,2
2,10,100,2,1.875,5,1,1
2,10,101,2,1.375,7,1,1
2,10,102,2,1.625,5,1,1
2,10,103,2,1.75,4,1,1
