subject,section,traial,Amount of deformation,answer1,answer2
6,9,117,100,1,5
6,10,118,0,4,4
6,10,119,18,4,2
6,10,120,35,1,5
6,10,121,52,1,5
6,10,122,68,1,5
6,10,123,85,1,5
6,10,124,100,1,5
6,10,125,93,1,5
6,10,126,76,1,5
6,10,127,60,2,5
6,10,128,43,2,5
6,10,129,26,3,4
6,10,130,10,5,1
6,11,131,100,1,5
6,11,132,85,1,5
6,11,133,68,1,5
6,11,134,52,1,5
6,11,135,35,3,4
6,11,136,18,4,2
6,11,137,0,4,4
6,11,138,10,5,1
6,11,139,26,5,3
6,11,140,43,1,5
6,11,141,60,1,5
6,11,142,76,1,5
6,11,143,93,1,5
6,12,144,0,4,4
6,12,145,10,5,2
6,12,146,18,4,3
6,12,147,26,2,5
6,12,148,35,1,5
6,12,149,43,1,5
6,12,150,52,1,5
6,12,151,60,1,5
6,12,152,68,1,5
6,12,153,76,1,5
6,12,154,85,1,5
6,12,155,93,1,5
6,12,156,100,1,5
6,13,157,100,1,5
6,13,158,93,1,5
6,13,159,85,1,5
6,13,160,18,4,4
6,13,161,10,4,3
6,13,162,0,3,4
6,13,163,60,1,5
6,13,164,68,1,5
6,13,165,76,1,5
6,13,166,26,1,5
6,13,167,35,1,5
6,13,168,43,1,5
6,13,169,52,2,5
6,14,170,100,1,5
6,14,171,52,1,5
6,14,172,93,1,5
6,14,173,43,1,5
6,14,174,85,1,5
6,14,175,35,1,5
6,14,176,76,1,5
6,14,177,26,3,4
6,14,178,68,1,5
6,14,179,18,4,4
6,14,180,60,1,5
6,14,181,10,4,3
6,14,182,0,4,4
6,15,183,100,1,5
6,15,184,93,1,5
6,15,185,85,1,5
6,15,186,76,1,5
6,15,187,68,1,5
6,15,188,60,1,5
6,15,189,52,1,5
6,15,190,43,1,5
6,15,191,35,2,5
6,15,192,26,2,5
6,15,193,18,4,4
6,15,194,10,5,5
6,15,195,0,4,3
6,16,196,0,4,3
6,16,197,10,4,2
6,16,198,18,4,3
6,16,199,100,1,5
6,16,200,93,1,5
6,16,201,85,1,5
6,16,202,76,1,5
6,16,203,43,1,5
6,16,204,35,2,5
6,16,205,26,2,5
6,16,206,68,1,5
6,16,207,60,1,5
6,16,208,52,1,5
